date,name,bust,waist,hips,height,weight,birth_date,birth_place,ambitions,turn_ons,turn_offs,favorite_film,role_models,my_man,i_always_wanted_to_know,secret_fantasy,redheads_are,dream_date,the_actress_id_most_like_to_meet,the_thing_i_like_best_about_american_men,favorite_place,favorite_sport,id_like_most_to_meet,favorite_foods,place_id_most_like_to_visit,favorite_books,ideal_evening,favorite_performers,recurring_nightmare,favorite_writers,special_skills,romantic_rendezvous,favorite_pampering_activities,occupation,man_id_most_like_to_meet,what_amazes_you,who_do_you_admire,favorite_musicians,secret_wishes,favorite_outfits,Ill_know_Ive_made_it_when,ideal_weekend,describe_yourself,qualities_valued_most_in_others,getting_your_attention,your_sex_advice,favorite_way_to_wakeup,what_drives_you_wild,you_can_never_have_enough,im_always,ive_learned,my_philosophy,im_a_sucker_for,fondest_memory,a_great_day_always_starts_with,words_to_live_by,travel_dream,phrase_i_live_by,i_stand_up_for,a_woman_i_admire_and_why,five_musicians_who_inspired_me,most_exciting_city_in_world,hobbies,pets,plans_for_education,job_before_modeling,inspiration_for_my_poetry,great_book_ive_just_read,in_the_morning_i_remind_myself_to,one_thing_youd_change_about_yourself,most_impulsive_thing_youve_done,things_ive_always_wanted_to_try,not_playmate_id_be_working_as,when_i_feel_the_need_for_speed_im,wildest_thing_i_want_to_do,if_i_had_more_time_i_would,i_wish_i_had,my_moto,favorite_ways_to_kill_time,dream_job,my_support,i_could_never_be,couldn’t_live_without,favorite_color,hardest_part_of_being_playmate,passions,shake_me_wake_me,when_young_and_on_your_own,healthy_springtime_balance,modeling_tips,remodeling tip,i_may_look_innocent_but,love_is,our_heroine,lessons_weve_learned,fantasy_guy_next_door,people_think_im,favorite_quote,why_i_could_never_be_president,what_makes_a_woman_sexy,my_friends_know,every_woman_should_have,most_frightening_experience,i_like_to_be_surrounded_by,sexy_begins_with,phobias,i_judge_a_man_by,i_appreciate,if_you_really_want_to_know_me,when_i_want_to_relax,favorite_advice,im_happy_when,my_attitude,im_bullish_on,places_ive_been_lately,riding_my_horse_is,advice_from_mom,a_real_cowgirl,typical_day_in_your_life,whats_sexy_in_men,mood_music,my_future,favorite_zip_code,favorite_tune,my_family,my_best_quality,quality_most_valued_in_others,necessities_of_a_strong_relationship,most_impacting_statement,my_sisters,people_don't_know_im,favorite_dishes,my_idea_of_fun,i_expose_myself_to,how_i_like_to_get_wet,how_to_get_me_into_bed,how_to_get_me_out_of_bed,my_valentines_day_dream,dream_land,advocations,small_town_girls,aphrodisiac,choice_moment,last_words,what_brightens_my_day,never_leave_home_without,rules_to_leave_by,gift_list,in_the_mood,my_music,sex_is,ideal_man,im_happiest_when,favorite_thing,great_sex_begins_with,the_best_men_are,more_and_less,in_my_craziest_moment,also_known_as,strange_but_true,favorite_dessert,honeymoon_wish_list,men_are_great_because_they,why_love_hawaii,favorite_subject,favorite_boy_names,i_fall_asleep_to,if_i_where_queen_of_the_world,victorias_secret,three_rules_to_live_by,new_year_resolutions,ill_never,nobody_knows,call_me_crazy_but,boy_bribery,perfect_kiss,hands_on,bedtime_reading,calling_room_service,what_shakes_me_up,dream_gateway,mistaken_identity,the_rachel_jean_workout,scariest_moment,glad_i_was_there,virtues,if_i_could,how_to_impress_me,my_strongest_influences,my_ideal_couple,im_proud_that,pet_peeve,pet_advice,dream_vacation,favorite_drink,i_must_have,turn_up_the_radio_for,i_love_ballet_because,i_feel_most_at_home,my_split_personality,looking_ahead,most_embarrassing_moment,romancing_my_man,perfect_day,cant_get_enough,the_way_to_my_heart,if_i_were_invisible,i_may_be_tiny,no_place_like_home,beyond_modeling,its_so_unsettling,most_exciting_day,elan_at_home,mad_madder_maddest,never_again,one_thing_im_not,i_pledge_allegiance,dream_car,a_night_to_remember,disney_character_i_relate_to,ideal_home,most_outrageous_job,best_date,i_respect,best_heartpounding_experience,worst_heartpounding_experience,how_to_really_make_my_heart_pound,what_i_like_about_america,what_i_miss_about_europe,most_romantic_moment,in_my_heart_of_hearts,most_irrational_fear,there_ought_to_be_a_law,i_truly_believe,when_pigs_fly,vices,water_fantasies_part_1,part_2,part_3,favorite_appliances,what_men_do_better_than_women,worst_places_sand_gets,favorite_video,on_the_road,lifes_a_beach,p.s.,so_se_me,if_i_were_a_senator,champagne_make_me,ill_never_understand,best_decision,self_image,ideal_mate,biggest_weakness,my_best_asset,international_relations,im_just_wild_about,my_antique_collection,fencing_is,when_i_was_younger,then_i_learned,now_i_know,prince_charming,tanning_secrets,sexy_is,love_rules,things_i_want_to_do_in_my_life,favorite_reading_material,my_daily_schedule_2_years_from_now,biggest_fear,fantasy_time,favorite_sweets,best_thing_about_usa_army,when_we_get_home,favorite_century_and_why,thanks_to,golden_rules,the_perfect_man,vehicles,i_promise,where_ive_been,what_i_saw,where_im_going,why_im_here,who_am_i,ideal_mans_attire,secret_of_the_month,dream_trek,the_man_i_love,no_one_would_believe,all_i_want_for_christmas,if_you_see_me,if_you_knew_me,the_man_i_love_is,worst_nightmare,favorite_bed_treats,favorite_actor,small_town_life,new_years_resolution,i_want,i_must_see,in_my_futre,typical_AM,playboy_means,favorite_compliments,my_opinion,my_life_story,what_i_wonder_about_americans,how_my_men_are_exactly_like_horses,the_foolproof_way_to_win_me_over,qualities_i_look_for_in_a_man,special_thanks_to,favorite_people,my_healthy_foods,ideal_airplane_passenger,what_they_dont_teach_in_stewardess_school,worst_announcement_from_captain,cutest_chicago_cub,indoors,outdoors,destinations,sunny_days,future_shocks,fantasy_trip,its_important_to_me,my_dreams,my_confidants,am_who_i_am_because,1999,lingerie_im_wearing,valentines_day_plans,canadian_date,american_date,being_a_playmate_means,things_i_love,favorite_country,describe_yourself,what_i_like_best_about_holland,what_i_found_interesting_about_america,what_you_should_know_about_my_sister,lines_i_hate,love_affair,my_bookshelf,my_my_my,financial_plans,heroes,in_a_past_life,my_strengths_are,my_lingerie_drawer,freudian_dream,food_and_drink,hot_time,dream_guy,my_therapy,tv_programs,mr_right_will_be,favorite_pasttimes,favorite_part_of_the_day,things_i_enjoy_giving,goodies_i_want_out_of_life,favorite_things,light_readin,perfect_night,worst_guilt_trip,your_night_out,tv_credits,favorite_love_portion,least_favorite_thing_about_america,extracurricular_pursuits,favorite_investments,favorite_era,personal_weapon,predict_your_future,one_wish_in_the_world,retiring_place_and_why,male_dance_youd_like_to_dance_with,experiment_youd_like_to_perform_on_space_shuttle,if_you_could_have_only_3_records,interesting_place_to_make_love,perfect_menu_for_date,add_to_circle_of_friends,least_fashionable_outfit,movie_character_youd_like_to_play,biggest_disappointment,womans_personal_style_you_admire,what_you_always_put_off,most_dangerous_secret,boring_date_you_can_imagine,redo_school_courses,biggest_flaw,best_job_in_the_world,what_really_excites_you,what_youd_like_to_do_that_youve_never_told_anyone,dish_youd_make_for_boyfriend_after_fight,what_make_you_laugh,important_lesson_learned,what_got_you_into_most_trouble_as_a_kid,biggest_joy,sign,favorite_artist,charity
9/1/1997,Nikki Schieler,36,23,35,"5'8""",118,8/9/1971,"Norwalk, California","To be the sole source of pleasure for my man, to have many adventures and to bench 180!","Sense of humor, soft lips, a beard of sweat down a sideburn, and romance.",Poor dental hygiene.,,,,,,,"To spend one amazing night with Jim Carrey, Robin Williams and Eddie Murphy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skydiving, snow skiing, riding wave runners, working out, and disco dancing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"By the year 2000, I'll be married with children and have own TV sitcom.","90210, of course!","""Hot Child in the City.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/1997,Kalin Olson,36,24,32,"5'7""",125,12/29/1975,"Hot Springs, Arkansas","To succeed as a model and actress, partly to show Arkansans I can do it. ","Bubble baths, outdoorsmen, men who can cook, see-through lingerie.","Bad manners, flirtatious men, small minds in small towns.",,,"He works hard, He'd rather be with me than partying with friends, and he never looks twice at another woman -- plus he loves it when I model in lingerie for him.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I may be small town, but not small-minded.",,,,,,,,"New things -- for me that means sushi, scuba diing, seeing the world.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/1997,Daphnee Lynn Duplaix,34,24,36,"5'7.5""",120,8/18/1976,"Manhattan, N.Y.",To be recognized as one of the most talented sexiest actresses of all time!,"Bald heads, Rooftops & Beaches, Boxers (not briefs), sense of humor & homor & authenticity!","Big egos, skinny legs, people wo don't express their own opinions!",,,,,,,,,,,,Dennis Rodman --  He's the male version of me!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JUST DO IT!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""They're going to talk about me the way they used to talk about Jesus."" (The Mack, 1973)",,,,,,,,,,,,,,,,,,,,,,,,,,,"Is mentally unbalanced, but we all seem to even each other out!",My heart!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/1997,Lynn Thomas,34,25,35,"5'7""",120,1/21/1976,"Newport News, Virginia","Short term, I may endeavor to pursue graduate studies in the fine arts; long ter, I hope to find a suitable niche in the workforce.","Creativity and imagination --  the atypical, freedom, kindess, empathy, humor, passion, direction and decisiveness. ","Impatience, stereotypes, judgmental behavior, narrow-mindedness, instability.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Good Friday, spinning out of rush hour traffic across a three-lane highway, blind but placed (in retrospect), the force of steering wheel across my sternum.",,,,,,,,,,,,,,,,,,,,,,,,Capacity to love.,"Strength in both parties, generosity, equality in every dimension, mental connection.","""Envy is ignoranc, imitation is suicide."" -- Emerson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/1997,Kelly Marie Monaco,34,21.5,31.5,"5'3""",95,5/23/1976,"Philadelphia, Pennsylvania","Stay determined, always try  110%, to succeed in ""The land of make believe.""","Contagious smile, sense of adventure, inner strength, and mountain air.","""Politically Correct"" a man with more hair on his back than on his head.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The straight paved road won't always get you farther than the winding dirty road.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Are there to pick me up, put me down and be my very best friends.",Very daring. You don't have to ask me twice. Success comes with bold and creative minds.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/1997,Jennifer Miriam,36,24,34,"5'5""",114,5/2/1972,"Oklahoma City, OH",To contiue growing as a film actor to the point where I can retire to the serenity of the Rocky Mountains,A guy who will bring me fresh-picked flow and who will jump into the river with me.,Anyone who tries to suppress the free spirit in me!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lions -- getting suspended in 1st grade for roaring like one, continuously falling for Leo's, adoring ""The Lion King"" and also ""Leo"" Dicaprio.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chicken-fried steak, biscuits, cheesy mashed potatoes, pecan pie- and the man who appreciates a woman with healthy appetite.","Reading Anne Rice novels aloud to each other, then running nake through the cemetery.","New Orleans blues, Charles Bukowski's poetry, art-house films, Andy Warhol paintings and the guitar player in the corner of the café.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/1997,Kimber West,36,24,36,"5'9.5""",125,5/23/1974,"Atlanta, Georgia",To be a successful model and actress and have enough money to be financially secure.,"A man who has no inhibitions and is willing to please me, whatever way I want.","Mean people, snobs, bullies, and men who aer intimidated by beautiful women.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bubble baths, hot steamy showers, skinny-dipping in the ocean at midnight.","A day full of sweetness with tons of affection, lots of hugs and kisses, dinner and a hot-oil massage.","Wake me gently, sweetly, followed by coffee, and aother massage.",Taking a yatch to a deserted island with the one I love.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/1997,Jami Ferrell,36,22,35,"5'8""",118,6/20/1974,"Muncie, IN","To travel, to keep meeting new people and to become self-sufficient.","British accents, polo, strangers and nature in its wild state.","Arrogance, grunge, insensitivity and stupidity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kenya -- I dream of going there.,"Collecting old books, antiques equitation and trying new things on the spur of the moment.","I can't speak for others, but this small-town girl was always drawn toward the big city.",Red wine.,When the sun sets in the Pacific.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/1996,Victoria Silvstedt,35,24,36.5,"5'10""",139,9/19/1974,"Skelleftea, Sweden",To live and work in Paris and Los Angeles and make all of Sweden proud of me!,A suntanned wet body and a sexy butt!,"Pushy people, dishonesty, show-off guys!",,,,,,,,,"They are active, gentlemanly good looking -- but I don't know how they are in bed yet!",,,,"Lebanese and Japanese -- and American of course, because the portions are so big!",,,,,,,,,,,,,,,,,,,,,,Don't go too far too fast.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Watch out -- I'll be back!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/1996,Ulrika Ericsson,34,25,35,"5'7""",118,9/10/1970,"Gavle, Sweden","To work hard, write books and own a famr with horses & dogs.","Candlelight, red wine, fireplaces, ripped jeans and fast cars.","Ignorance, jealousy, crowds, bad breath and calamari.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A good cup of Gevalia coffee, a tough workout and lots of smiles. :)","My daily planner, stereo headset, sunglasses and a picture of my dog -- Casper.","Don't prejudge people, care for your loved ones and follow your dreams.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/1996,Nadine Chanz,34,22,34,"5'6""",102,4/17/1972,"Hildesheim, Germany",To succeed enough that one day I will have my own star on Hollywood Boulevard!,"Driving on the autobahn, German beer, Rollerblading, swimming and dancing.","Speed limits, war, people who wear fur, gossip and clubs that close at two am",,,,,,,,,"American men are confident, polite, and very good-looking -- but they should slow down a little!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"More animals, a trip to the Caribbean, a Harley and a motorcycle license.","Sunset at the beach, champagne, wearing silk -- it never fails.","The oddies: Metallica, Aerosmith and Van Halen",The most natural thing in the world.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/1996,Jennifer Allan,34,24,34,"5'8""",120,5/14/1974,"Las Vegas, Nevada","To teach elementary school, preferably second grade.","Hairy chests, knowing eyes, winning smiles, Men in sport coats and jeans.","Overly macho, insensitive men. Men who stare at women like they've never seen one before.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Smark, honest, compassionate with a sense of humor that keeps me laughing.",I'm eating at my favorite Mexican restaurant or home having my feet massaged while watching a movie.,Afternoon nap on a rainy day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/1996,Jessica Lee,34,24,34,"5'5""",103,2/18/1975,"Binghamton, N.Y","Acting --  Work hard, learn the craft. Take great care of my family, my friends & lover.","Hot Florida nights on the beach, humor because I love to laugh, full-body massages.","People who act lie hot shots, drugged-up dopes, complainers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Long - long kisses & summer!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"An awesome mother, a best buddy, and a hot, hot lover --  all in her heart.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hugs, lots of love, lots of laughter.","Made in America, because they've got an attitude, they're FUN, and even the plain-looking ones are hunks!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/1996,Angel Lynn Boris,34,22,34,"5'4""",110,8/2/1974,"St. Lauderdale, Florida","I want to do everything twice, including winning two Oscars and two Grammys!","Sensual music (including operas), Satin sheets, black and white movies, Tai food and being en cartera.","Jelapenos, impatience, being teased, not hot water, early alarms and cruelty.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Play with my hair, kiss my ears softly, massage my feet and sing to me.",,,,"Affection, pets and kids.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Life is understood backward and lived forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fear less, hope more, eat less, chew more, whine less, breathe more, talk less, say more.",I think about running naked in the rain. Wanna come?,"Bubba, Al, Mumpy, Red and Darlin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/1996,Karin Taylor,34,23.5,34,"5'9""",123,11/28/1971,"Kingston, Jamaica","To always achieve, bring love, peace and hope to all I meet and have a family.","Rain, the ocean and kissing… Did I mention kissing?",Men who don't oepn doors and women who don't thank me who do!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Out of stamps! I write friends daily.,,,,,,,,,,,,,,,,,,,,,,,,,,,A sense of direction -- I'm always getting lost.,"""If your ship doesn't come in, swim out to it!"" --Jonathan Winters.",,,,,,,,,,,,,,,,,,,,"""Love is a mood-no more-to man, and love to a woman is life or death."" --Ella Wilcox",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martha Stewart II. I got it while shooting Playboy. Watch my video to see why.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/1996,Shauna Sand,33,22,33,"5'4""",98,9/2/1971,"San Diego, California.",To balance a successful acting career while raising a family with the man I love.,"Intelligence, innocence, honesty, sensitivity, fidelity -- and Lorenzo.","Violence, jealousy, airheads, gossip, and waking up before 9AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I live each day like there's no tomorrow and try to think positive.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"My mother and I were born on the same date (September 2nd) and the exactc same time(6:36AM for her, PM for me)!",Spreading Haagen-Dars Pralines and Cream all over  my Renegade man and…,"Sun, sea, champagne, mangos, stiletto heels, and no time limits.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
